title,vote_average,vote_count,genres
Love Me If You Dare,7.4,531.0,"['Drama', 'Comedy', 'Romance']"
Portrait of Jennie,6.9,18.0,"['Drama', 'Fantasy', 'Romance']"
Control Room,7.7,19.0,['Documentary']
The Cheat,4.8,11.0,['Drama']
Dr. Jekyll and Mr. Hyde,6.8,26.0,"['Drama', 'Horror', 'Science Fiction']"
The Golem: How He Came Into the World,7.0,29.0,"['Horror', 'Science Fiction', 'Thriller']"
The Phantom Carriage,7.7,70.0,"['Drama', 'Fantasy', 'Horror']"
Destiny,7.4,25.0,"['Thriller', 'Drama', 'Fantasy']"
Häxan,7.5,66.0,['Horror']
The Hunchback of Notre Dame,6.4,24.0,"['Drama', 'Horror']"
He Who Gets Slapped,7.2,15.0,"['Drama', 'Romance', 'Thriller']"
"Sherlock, Jr.",8.1,134.0,"['Fantasy', 'Drama', 'Comedy', 'Mystery']"
The Big Parade,7.0,22.0,"['Drama', 'Romance', 'War']"
The Freshman,7.7,18.0,['Comedy']
Greed,7.5,25.0,"['Drama', 'History']"
The Phantom of the Opera,7.0,78.0,"['Drama', 'Horror']"
The Jazz Singer,6.4,30.0,"['Drama', 'Music']"
October (Ten Days that Shook the World),6.5,27.0,"['Documentary', 'Drama']"
The Unknown,7.6,24.0,"['Drama', 'Horror', 'Romance']"
Pandora's Box,7.6,46.0,"['Drama', 'Thriller', 'Romance']"
The Cameraman,8.1,54.0,['Comedy']
The Fall of the House of Usher,7.5,23.0,"['Drama', 'Horror']"
The Crowd,7.4,25.0,['Drama']
The Man Who Laughs,7.4,32.0,"['Drama', 'Horror']"
"Steamboat Bill, Jr.",7.9,66.0,"['Action', 'Comedy']"
Un chien andalou,7.5,256.0,"['Drama', 'Fantasy']"
Little Caesar,6.9,63.0,"['Drama', 'Action', 'Crime']"
L'Âge d'Or,6.7,53.0,"['Romance', 'Comedy', 'Drama']"
The Champ,6.8,13.0,['Drama']
Monkey Business,7.1,34.0,"['Music', 'Comedy']"
Night Nurse,6.2,17.0,"['Crime', 'Drama', 'Mystery']"
Boudu Saved from Drowning,6.9,24.0,['Comedy']
Doctor X,5.8,20.0,"['Thriller', 'Horror']"
Land Without Bread,6.5,21.0,['Documentary']
The Old Dark House,6.7,46.0,"['Drama', 'Horror']"
Scarface,7.5,88.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']"
Shanghai Express,6.5,37.0,"['Romance', 'Drama']"
"I Was Born, But...",7.0,21.0,"['Comedy', 'Drama']"
Vampyr,7.2,96.0,"['Drama', 'Horror']"
Dinner at Eight,6.5,19.0,"['Comedy', 'Drama']"
The Ghoul,5.0,13.0,"['Romance', 'Drama', 'Horror', 'Action', 'Mystery']"
Gold Diggers of 1933,7.2,29.0,"['Comedy', 'Music']"
Island of Lost Souls,7.0,56.0,"['Adventure', 'Horror', 'Science Fiction']"
Lady for a Day,6.2,17.0,['Comedy']
She Done Him Wrong,5.2,28.0,['Comedy']
The Son of Kong,5.2,31.0,"['Adventure', 'Horror', 'Action', 'Science Fiction']"
The Vampire Bat,5.0,12.0,"['Horror', 'Thriller']"
Wild Boys of the Road,6.2,12.0,['Drama']
L'Atalante,7.3,75.0,"['Romance', 'Drama']"
The Black Cat,6.5,54.0,['Horror']
Imitation of Life,6.1,17.0,"['Drama', 'Romance']"
The Lost Patrol,5.9,18.0,"['Action', 'War']"
The Scarlet Pimpernel,7.1,14.0,"['Action', 'Adventure', 'Drama']"
Toni,7.1,12.0,['Drama']
Bonnie Scotland,7.1,14.0,['Comedy']
The Informer,6.5,23.0,['Drama']
Mark of the Vampire,6.1,27.0,"['Horror', 'Mystery']"
The Raven,6.8,29.0,"['Horror', 'Crime']"
Werewolf of London,6.4,32.0,"['Fantasy', 'Horror', 'Drama']"
Fury,7.5,38.0,"['Crime', 'Drama', 'Romance', 'Thriller']"
Libeled Lady,6.6,21.0,"['Comedy', 'Romance']"
Mr. Deeds Goes to Town,7.3,69.0,"['Comedy', 'Drama', 'Romance']"
The Petrified Forest,7.1,53.0,"['Crime', 'Drama']"
These Three,7.2,12.0,['Drama']
Wife vs. Secretary,6.5,12.0,"['Comedy', 'Drama', 'Romance']"
Camille,6.8,28.0,"['Drama', 'Romance']"
Captains Courageous,6.7,35.0,"['Adventure', 'Drama', 'Family']"
Dead End,7.1,19.0,"['Crime', 'Drama']"
Nothing Sacred,6.6,13.0,"['Comedy', 'Drama', 'Romance']"
The Prisoner of Zenda,8.4,11.0,"['Adventure', 'Drama', 'Romance']"
Stage Door,6.2,15.0,"['Comedy', 'Drama']"
Topper,6.2,21.0,"['Comedy', 'Fantasy', 'Romance']"
Holiday,7.0,59.0,['Comedy']
Gaslight,7.1,20.0,"['Thriller', 'Mystery']"
The Roaring Twenties,7.5,55.0,"['Crime', 'Drama', 'Thriller']"
Wuthering Heights,7.4,56.0,"['Drama', 'Fantasy', 'History', 'Romance']"
The Story of the Last Chrysanthemum,7.7,19.0,"['Romance', 'Drama']"
The Letter,7.4,42.0,"['Crime', 'Drama', 'Romance']"
The Sea Hawk,7.2,29.0,['Action']
Ball of Fire,7.4,38.0,"['Comedy', 'Romance']"
Here Comes Mr. Jordan,6.0,21.0,"['Comedy', 'Fantasy', 'Romance']"
Across the Pacific,6.5,17.0,"['Adventure', 'Drama', 'Romance', 'War']"
Gentleman Jim,7.1,12.0,"['Comedy', 'Drama']"
Random Harvest,6.7,24.0,"['Drama', 'Romance']"
Action in the North Atlantic,7.0,12.0,"['Drama', 'War']"
Heaven Can Wait,6.9,40.0,"['Fantasy', 'Drama', 'Comedy', 'Science Fiction', 'Romance']"
Mr. Lucky,6.4,14.0,"['Comedy', 'Romance']"
Day of Wrath,8.3,41.0,"['Drama', 'Romance']"
Cover Girl,6.4,17.0,"['Comedy', 'Music', 'Romance']"
The Curse of the Cat People,5.8,21.0,"['Drama', 'Fantasy']"
Henry V,7.0,25.0,"['Drama', 'Action', 'History']"
Torment,6.9,18.0,['Drama']
The Mask of Dimitrios,6.1,11.0,['Thriller']
Ministry of Fear,6.5,40.0,"['Crime', 'Drama']"
The Miracle of Morgan’s Creek,6.7,22.0,"['Comedy', 'Romance', 'War']"
Mr. Skeffington,6.8,15.0,"['Drama', 'Romance']"
Passage to Marseille,6.4,12.0,"['Adventure', 'Drama', 'History']"
The Woman in the Window,7.5,43.0,"['Drama', 'Thriller']"
Isle of the Dead,5.6,20.0,"['Horror', 'Thriller']"
"Ivan the Terrible, Part I",7.0,30.0,"['Drama', 'History']"
They Were Expendable,6.0,31.0,"['Drama', 'Action', 'War']"
A Tree Grows in Brooklyn,7.3,20.0,['Drama']
The Beast with Five Fingers,6.8,14.0,"['Thriller', 'Horror']"
The Blue Dahlia,6.6,37.0,"['Crime', 'Drama']"
The Dark Mirror,6.3,18.0,['Thriller']
Deception,5.9,14.0,"['Drama', 'Romance']"
Great Expectations,7.2,71.0,"['Drama', 'Romance']"
Humoresque,7.1,17.0,"['Drama', 'Music']"
Shoeshine,7.6,41.0,['Drama']
The Stranger,7.0,71.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Nightmare Alley,7.4,27.0,['Drama']
Odd Man Out,7.3,45.0,"['Drama', 'Crime']"
Road to Rio,6.5,12.0,['Comedy']
The Two Mrs. Carrolls,6.0,17.0,"['Crime', 'Drama', 'Thriller']"
3 Godfathers,6.1,39.0,"['Action', 'Drama', 'Western']"
Easter Parade,6.7,31.0,"['Comedy', 'Drama', 'Music', 'Romance']"
Fort Apache,6.8,68.0,['Western']
The Lady from Shanghai,7.2,108.0,"['Crime', 'Drama', 'Mystery']"
Letter from an Unknown Woman,8.1,58.0,['Drama']
The Naked City,7.2,67.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Pirate,6.6,17.0,"['Music', 'Romance']"
They Live by Night,6.5,25.0,"['Drama', 'Crime']"
The Three Musketeers,6.2,21.0,"['Romance', 'Action', 'Adventure', 'Drama']"
Unfaithfully Yours,7.8,22.0,"['Comedy', 'Romance']"
Yellow Sky,6.7,22.0,"['Crime', 'Western']"
The Barkleys of Broadway,7.4,11.0,"['Comedy', 'Music', 'Romance']"
A Letter to Three Wives,6.8,26.0,"['Drama', 'Romance']"
Orpheus,8.0,46.0,"['Drama', 'Fantasy', 'Romance']"
Annie Get Your Gun,7.3,22.0,"['Action', 'Comedy', 'Music', 'Romance', 'Western']"
Les Enfants Terribles,6.7,19.0,['Drama']
The Gunfighter,6.7,30.0,['Western']
King Solomon's Mines,6.3,23.0,"['Action', 'Adventure', 'Romance']"
Los Olvidados,7.9,70.0,"['Crime', 'Drama']"
Scandal,6.6,19.0,['Drama']
Summer Stock,6.5,14.0,"['Music', 'Romance']"
Europe '51,7.1,17.0,['Drama']
Clash by Night,6.8,18.0,['Drama']
The Life of Oharu,8.4,38.0,['Drama']
Son of Paleface,6.2,13.0,"['Comedy', 'Romance', 'Western']"
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,6.7,23.0,"['Comedy', 'Horror', 'Science Fiction']"
Gun Fury,5.5,11.0,"['Crime', 'Action', 'Adventure', 'Western']"
Gate of Hell,6.6,17.0,"['History', 'Drama', 'Romance']"
The Titfield Thunderbolt,7.3,18.0,['Comedy']
The Belles of St. Trinian's,6.4,17.0,['Comedy']
The Crucified Lovers,7.6,22.0,"['Drama', 'Romance']"
French Cancan,6.4,12.0,"['Romance', 'Comedy', 'Drama']"
Magnificent Obsession,6.9,27.0,"['Drama', 'Romance']"
Salt of the Earth,7.3,17.0,"['History', 'Drama']"
Samurai I: Musashi Miyamoto,7.4,36.0,"['Drama', 'Action', 'Adventure']"
A Star Is Born,7.1,56.0,"['Drama', 'Music', 'Romance']"
Three Coins in the Fountain,6.2,13.0,['Drama']
The Wild One,6.9,59.0,['Drama']
Mr. Arkadin,6.8,28.0,"['Crime', 'Mystery', 'Drama', 'Thriller']"
Night and Fog,8.3,97.0,"['History', 'Documentary', 'War']"
Samurai II: Duel at Ichijoji Temple,7.3,23.0,"['Drama', 'Action', 'Adventure']"
The Unknown Soldier,7.8,19.0,"['Drama', 'War']"
The Burmese Harp,7.7,29.0,"['Drama', 'Music', 'War']"
Carousel,5.5,23.0,['Music']
Samurai III: Duel at Ganryu Island,7.4,24.0,"['Action', 'Adventure', 'Drama', 'Romance', 'History']"
Rodan,5.7,22.0,"['Horror', 'Science Fiction']"
Fiend Without a Face,5.9,19.0,"['Horror', 'Science Fiction']"
Jailhouse Rock,5.8,30.0,"['Drama', 'Music']"
The Spirit of St. Louis,6.4,36.0,"['Action', 'Drama', 'History']"
Zero Hour!,6.7,12.0,"['Drama', 'Thriller']"
Teacher's Pet,6.5,26.0,"['Comedy', 'Romance']"
The Vikings,6.7,53.0,"['Action', 'Adventure', 'Drama', 'History', 'Romance']"
Invisible Invaders,4.9,14.0,"['Horror', 'Science Fiction']"
The Human Condition II: Road to Eternity,8.5,31.0,"['War', 'Drama', 'History']"
Fires on the Plain,7.8,17.0,"['Drama', 'War']"
North West Frontier,7.1,12.0,"['Drama', 'Adventure']"
The Nun's Story,7.4,46.0,['Drama']
Pickpocket,7.3,89.0,"['Crime', 'Drama']"
Floating Weeds,7.7,33.0,['Drama']
When a Woman Ascends the Stairs,8.1,20.0,['Drama']
The Sundowners,6.8,12.0,"['Drama', 'Adventure']"
The Bad Sleep Well,7.7,57.0,"['Crime', 'Drama', 'Thriller']"
The Deadly Companions,4.8,14.0,"['Action', 'Adventure', 'Western']"
The Intruder,6.4,15.0,['Drama']
Murder She Said,7.0,31.0,"['Drama', 'Crime', 'Mystery', 'Comedy']"
The Human Condition III: A Soldier's Prayer,8.4,28.0,"['War', 'Drama', 'History']"
Taste of Fear,6.7,15.0,"['Horror', 'Mystery']"
Advise & Consent,7.5,27.0,['Drama']
David and Lisa,6.7,12.0,"['Romance', 'Drama']"
Eegah,2.8,18.0,['Horror']
Harakiri,8.2,136.0,"['Action', 'Drama', 'History']"
The Loneliness of the Long Distance Runner,7.5,39.0,['Drama']
The Music Man,6.7,47.0,"['Comedy', 'Music', 'Family']"
Mutiny on the Bounty,6.5,68.0,"['Adventure', 'Drama', 'History']"
An Occurrence at Owl Creek Bridge,8.5,19.0,['Drama']
Il Sorpasso,8.1,92.0,"['Drama', 'Comedy']"
L'eclisse,7.7,68.0,"['Romance', 'Drama']"
The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,2.7,15.0,['Horror']
The Kiss of the Vampire,6.7,20.0,['Horror']
Love with the Proper Stranger,6.2,17.0,"['Comedy', 'Drama', 'Romance']"
McLintock!,6.2,54.0,['Western']
Murder at the Gallop,6.3,23.0,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Comedy']"
The Prize,6.4,17.0,"['Drama', 'Mystery', 'Crime']"
Crooks in Clover,7.8,96.0,"['Action', 'Comedy', 'Crime']"
36 Hours,6.9,19.0,"['Drama', 'Thriller']"
Becket,7.2,45.0,"['Drama', 'History']"
"Hush... Hush, Sweet Charlotte",7.0,54.0,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']"
The Killers,6.5,40.0,"['Crime', 'Drama', 'Mystery']"
The Naked Kiss,6.7,41.0,"['Crime', 'Drama']"
Onibaba,7.6,73.0,['Horror']
Robin and the 7 Hoods,6.2,23.0,"['Music', 'Comedy', 'Crime']"
Robinson Crusoe on Mars,6.5,44.0,"['Drama', 'Science Fiction']"
Spider Baby,7.1,41.0,"['Comedy', 'Horror']"
What a Way to Go!,7.2,16.0,"['Comedy', 'Romance']"
The Battle of Algiers,7.8,167.0,"['Drama', 'War', 'History']"
A Charlie Brown Christmas,7.5,156.0,"['Animation', 'Family', 'Comedy', 'TV Movie']"
Dracula: Prince of Darkness,6.1,54.0,['Horror']
The Hallelujah Trail,6.1,24.0,['Western']
The Heroes of Telemark,5.9,29.0,"['War', 'Action', 'Drama', 'History']"
The Hill,7.6,50.0,"['Drama', 'War']"
In Harm's Way,6.5,25.0,"['War', 'Drama']"
The Loved One,6.7,13.0,['Comedy']
Major Dundee,6.2,41.0,"['War', 'Western']"
Operation Crossbow,5.9,20.0,"['Action', 'Thriller', 'War']"
Ride in the Whirlwind,6.0,20.0,['Western']
The Train,7.2,74.0,"['Action', 'Drama', 'Thriller', 'War']"
Andrei Rublev,8.0,139.0,"['Drama', 'History']"
Au Hasard Balthazar,7.8,74.0,['Drama']
Batman,6.1,209.0,"['Family', 'Adventure', 'Comedy', 'Science Fiction', 'Crime']"
Grand Prix,6.3,39.0,"['Action', 'Adventure', 'Drama']"
Khartoum,5.8,18.0,"['History', 'War']"
Manos: The Hands of Fate,2.0,56.0,['Horror']
Closely Watched Trains,7.3,52.0,"['Comedy', 'Drama', 'War']"
Tokyo Drifter,7.4,46.0,"['Drama', 'Action', 'Crime']"
Asterix the Gaul,6.4,136.0,"['Family', 'Animation', 'Adventure', 'Comedy']"
Dont Look Back,7.5,35.0,"['Documentary', 'Music']"
Fando and Lis,6.8,22.0,['Fantasy']
Branded to Kill,7.4,57.0,"['Action', 'Crime', 'Drama']"
The Bride Wore Black,7.3,41.0,"['Mystery', 'Drama', 'Romance', 'Thriller', 'Crime']"
PlayTime,8.0,99.0,['Comedy']
Point Blank,7.1,97.0,"['Action', 'Crime', 'Drama', 'Thriller']"
The Shooting,6.1,29.0,['Western']
The St. Valentine's Day Massacre,5.8,19.0,"['Drama', 'History', 'Crime']"
Titicut Follies,7.3,23.0,['Documentary']
Tony Rome,6.2,13.0,"['Crime', 'Mystery', 'Thriller']"
Two for the Road,7.2,51.0,"['Comedy', 'Drama', 'Romance']"
The War Wagon,6.6,36.0,['Western']
Asterix and Cleopatra,6.9,191.0,"['Family', 'Animation', 'Adventure', 'Comedy']"
The Diamond Arm,7.9,44.0,"['Adventure', 'Comedy', 'Crime']"
Dracula Has Risen from the Grave,6.8,39.0,['Horror']
Head,6.4,22.0,"['Comedy', 'Fantasy']"
The Heart Is a Lonely Hunter,7.2,14.0,['Drama']
"I Love You, Alice B. Toklas!",5.8,13.0,"['Comedy', 'Romance']"
Sympathy for the Devil,6.5,12.0,"['Documentary', 'Music']"
War and Peace,7.5,16.0,"['War', 'Drama', 'History', 'Romance']"
"Yours, Mine and Ours",6.2,28.0,"['Comedy', 'Drama', 'Family']"
Alice's Restaurant,5.5,22.0,"['Drama', 'Comedy', 'Music']"
Colossus: The Forbin Project,7.1,50.0,"['Science Fiction', 'Thriller']"
Death Rides a Horse,6.9,31.0,['Western']
Journey to the Far Side of the Sun,6.3,36.0,['Science Fiction']
My Night at Maud's,7.6,45.0,"['Comedy', 'Drama']"
The Magic Christian,6.0,13.0,['Comedy']
Marlowe,6.2,26.0,"['Crime', 'Mystery', 'Drama']"
More,6.5,11.0,"['Romance', 'Drama', 'Crime']"
The Reivers,5.9,17.0,"['Comedy', 'Drama']"
Taste the Blood of Dracula,5.9,42.0,['Horror']
Brewster McCloud,6.7,15.0,"['Fantasy', 'Comedy']"
Dodes'ka-den,6.7,22.0,['Drama']
Claire's Knee,7.4,35.0,"['Drama', 'Romance']"
"Hi, Mom!",5.8,20.0,"['Comedy', 'Drama']"
House of Dark Shadows,6.7,13.0,"['Drama', 'Horror', 'Thriller', 'Romance']"
A Swedish Love Story,7.5,32.0,"['Drama', 'Romance']"
On a Clear Day You Can See Forever,6.0,12.0,"['Action', 'Drama', 'Family', 'Romance']"
Performance,6.9,46.0,"['Crime', 'Drama', 'Music']"
A Trip Down the River,7.8,11.0,['Comedy']
The White Sun of the Desert,7.5,25.0,"['Action', 'Drama', 'Comedy', 'Adventure']"
Zabriskie Point,7.1,78.0,"['Drama', 'Romance']"
The Beguiled,7.0,86.0,"['Drama', 'Romance', 'War', 'Western']"
The Devils,7.4,90.0,"['Drama', 'History']"
Duel,7.2,374.0,"['TV Movie', 'Action', 'Thriller']"
The Go-Between,6.2,24.0,"['Drama', 'Romance']"
Johnny Got His Gun,7.2,65.0,"['War', 'Drama']"
Lawman,6.5,24.0,"['Action', 'Western']"
Let's Scare Jessica to Death,6.6,51.0,"['Horror', 'Mystery', 'Thriller']"
They Call Me Trinity,7.5,269.0,"['Action', 'Comedy', 'Western']"
A New Leaf,7.1,29.0,"['Comedy', 'Romance']"
Nicholas and Alexandra,7.0,23.0,"['Romance', 'Drama', 'War']"
Scars of Dracula,5.9,31.0,['Horror']
Support Your Local Gunfighter,6.6,21.0,"['Action', 'Comedy', 'Western']"
Sweet Sweetback's Baadasssss Song,4.7,19.0,"['Action', 'Drama', 'Romance']"
El Topo,7.4,109.0,"['Action', 'Adventure', 'Drama', 'Western']"
The Emigrants,6.8,25.0,"['Adventure', 'Drama']"
Dr. Phibes Rises Again,6.2,37.0,"['Comedy', 'Horror']"
Dracula A.D. 1972,6.0,30.0,['Horror']
The Tall Blond Man with One Black Shoe,6.9,58.0,"['Comedy', 'Mystery']"
Lone Wolf and Cub: Sword of Vengeance,7.1,36.0,"['Drama', 'Action']"
Lone Wolf and Cub: Baby Cart at the River Styx,7.3,38.0,"['Action', 'Drama']"
Lady Sings the Blues,7.2,16.0,"['Romance', 'Drama', 'Music']"
Trafic,7.4,29.0,['Comedy']
The Mad Adventures of Rabbi Jacob,7.1,183.0,['Comedy']
Charley Varrick,7.0,57.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Dark Star,6.0,120.0,"['Comedy', 'Science Fiction']"
Bram Stoker's Dracula,6.4,13.0,"['Horror', 'TV Movie']"
Emperor of the North,6.8,30.0,"['Adventure', 'Drama', 'Action', 'Thriller']"
Executive Action,6.2,11.0,"['Action', 'Crime', 'Drama', 'History', 'Thriller']"
My Name Is Nobody,7.1,227.0,"['Comedy', 'Western']"
Invasion of the Bee Girls,4.0,15.0,"['Horror', 'Science Fiction', 'Thriller']"
Lemora: A Child's Tale of the Supernatural,6.4,15.0,['Horror']
Phase IV,5.9,48.0,"['Thriller', 'Horror', 'Science Fiction']"
Save the Tiger,7.1,18.0,['Drama']
Scarecrow,6.8,59.0,"['Drama', 'Thriller']"
Sisters,6.8,77.0,"['Horror', 'Thriller']"
Theatre of Blood,6.7,43.0,"['Comedy', 'Horror']"
Five Fingers of Death,6.7,24.0,['Action']
Turkish Delight,7.0,34.0,"['Drama', 'Romance']"
Walking Tall,6.5,32.0,"['Action', 'Crime', 'Drama']"
California Split,6.5,26.0,"['Comedy', 'Drama']"
The Cars That Ate Paris,5.1,19.0,"['Comedy', 'Mystery', 'Thriller', 'Horror']"
Conrack,7.1,12.0,['Drama']
The Living Dead at Manchester Morgue,6.3,41.0,"['Horror', 'Science Fiction']"
Emmanuelle,4.9,74.0,"['Drama', 'Romance']"
The Phantom of Liberty,7.4,46.0,"['Drama', 'Comedy']"
Flesh for Frankenstein,5.4,28.0,['Horror']
Gone in 60 Seconds,6.5,40.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Harry and Tonto,7.1,26.0,"['Drama', 'Comedy']"
Hearts and Minds,7.8,25.0,"['Documentary', 'War']"
The Holy Mountain,7.7,143.0,['Drama']
The Little Prince,6.0,26.0,"['Science Fiction', 'Fantasy', 'Family', 'Music']"
Thieves Like Us,6.2,13.0,"['Drama', 'Romance', 'Crime']"
The Adventure of Sherlock Holmes' Smarter Brother,6.1,47.0,"['Comedy', 'Crime', 'Mystery']"
Dolemite,5.5,17.0,"['Action', 'Comedy', 'Crime']"
The Twelve Tasks of Asterix,7.3,241.0,"['Family', 'Animation', 'Comedy', 'Adventure']"
Emmanuelle II,4.9,15.0,"['Drama', 'Romance']"
"Farewell, My Lovely",6.8,26.0,"['Crime', 'Mystery', 'Thriller']"
French Connection II,6.6,95.0,"['Action', 'Crime', 'Drama', 'Thriller']"
The Great Waldo Pepper,6.0,17.0,"['Action', 'Adventure', 'Drama']"
The Story of Adele H,6.9,35.0,"['Drama', 'History', 'Romance']"
"The Irony of Fate, or Enjoy Your Bath!",7.2,36.0,"['Drama', 'Comedy', 'Romance']"
Night Moves,6.6,45.0,['Thriller']
The Passenger,7.5,90.0,"['Thriller', 'Drama']"
Hand of Death,6.1,11.0,['Action']
Supervixens,6.4,35.0,['Comedy']
Trilogy of Terror,6.6,32.0,"['Horror', 'Thriller']"
1900,7.5,84.0,"['Drama', 'History', 'Romance']"
Small Change,7.7,23.0,"['Drama', 'Comedy']"
From Noon Till Three,5.5,15.0,"['Comedy', 'Western']"
Futureworld,5.7,66.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Harlan County U.S.A.,7.7,19.0,['Documentary']
The Marquise of O,6.1,11.0,"['History', 'Drama']"
The Message,7.4,81.0,"['Adventure', 'Drama', 'Action', 'History']"
The Missouri Breaks,6.2,41.0,"['Drama', 'Western']"
Silver Streak,6.8,101.0,"['Comedy', 'Crime', 'Romance', 'Thriller']"
Up!,5.6,27.0,['Comedy']
Who Can Kill a Child?,6.8,43.0,"['Horror', 'Mystery', 'Thriller']"
ABBA - The Movie,6.6,16.0,"['Documentary', 'Music']"
Demon Seed,5.9,57.0,"['Horror', 'Science Fiction']"
High Anxiety,6.5,86.0,"['Comedy', 'Music']"
The Man Who Loved Women,7.1,34.0,"['Drama', 'Comedy', 'Romance']"
"New York, New York",6.1,70.0,"['Drama', 'Music', 'Romance']"
Providence,7.1,13.0,['Drama']
Sorcerer,7.5,104.0,"['Action', 'Thriller', 'Adventure']"
The Turning Point,6.0,16.0,"['Drama', 'Romance']"
The Rutles: All You Need Is Cash,6.5,28.0,['Comedy']
Capricorn One,6.4,134.0,"['Drama', 'Action', 'Thriller', 'Science Fiction']"
The Five Venoms,6.2,27.0,['Action']
Gates of Heaven,6.6,28.0,['Documentary']
The Hobbit,6.0,76.0,"['Adventure', 'Animation', 'Family']"
The Grapes of Death,6.2,18.0,['Horror']
The Adventures of Picasso,7.6,12.0,['Comedy']
Snake in the Eagle's Shadow,7.2,68.0,"['Action', 'Comedy']"
French Fried Vacation 2,7.4,257.0,['Comedy']
Buffet Froid,6.6,28.0,"['Comedy', 'Crime']"
Hair,7.3,146.0,"['Drama', 'Comedy', 'History', 'Music']"
I as in Icarus,7.3,20.0,"['Thriller', 'Drama', 'Crime', 'Mystery']"
The In-Laws,6.7,26.0,"['Action', 'Adventure', 'Comedy']"
Love at First Bite,5.8,30.0,"['Romance', 'Comedy', 'Horror']"
La Luna,6.9,17.0,['Drama']
Opening Night,7.5,28.0,['Drama']
Quintet,5.6,18.0,"['Drama', 'Mystery', 'Science Fiction']"
Rockers,6.4,12.0,"['Drama', 'Action', 'Foreign']"
The Hitch Hikers Guide to the Galaxy,7.2,41.0,"['Adventure', 'Comedy', 'Science Fiction']"
Smiley's People,8.0,12.0,[]
The Scarlet Pimpernel,6.6,12.0,"['Action', 'Drama', 'Romance', 'TV Movie']"
Bad Boys,6.7,68.0,"['Crime', 'Drama', 'Thriller']"
Barefoot Gen,7.6,29.0,"['Animation', 'Drama', 'War']"
Blue Thunder,5.9,117.0,"['Science Fiction', 'Action', 'Thriller', 'Crime', 'Drama']"
D.C. Cab,5.4,18.0,"['Adventure', 'Comedy', 'Crime']"
The Day After,6.7,97.0,"['TV Movie', 'Science Fiction', 'Drama']"
Deal of the Century,4.8,13.0,['Comedy']
Doctor Detroit,4.7,20.0,['Comedy']
Eddie Murphy: Delirious,7.7,104.0,['Comedy']
El Norte,6.6,14.0,"['Thriller', 'Adventure', 'Drama']"
"Merry Christmas, Mr. Lawrence",7.4,88.0,"['Drama', 'History']"
First Name: Carmen,7.1,16.0,"['Drama', 'Comedy', 'Crime', 'Romance']"
Rock & Rule,6.3,27.0,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Science Fiction']"
Rumble Fish,6.8,141.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Romance']"
The Makioka Sisters,6.9,14.0,"['Drama', 'Foreign', 'Romance']"
Star 80,6.1,19.0,['Drama']
The Star Chamber,5.6,39.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Strange Invaders,5.2,18.0,"['Horror', 'Mystery', 'Science Fiction']"
Stroker Ace,4.9,14.0,"['Action', 'Comedy']"
To Be or Not to Be,7.0,49.0,['Comedy']
Twilight Zone: The Movie,6.2,164.0,"['Drama', 'Fantasy', 'Horror', 'Science Fiction', 'Thriller']"
The Fourth Man,6.8,32.0,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller', 'Horror']"
Suburbia,6.6,18.0,"['Drama', 'Music']"
Yellowbeard,5.7,44.0,"['Comedy', 'Adventure']"
One Deadly Summer,7.1,28.0,"['Mystery', 'Drama']"
Another Country,5.9,24.0,"['Drama', 'Romance']"
Boy Meets Girl,6.9,14.0,"['Drama', 'Romance']"
A Christmas Carol,7.1,42.0,"['Drama', 'Family', 'Fantasy', 'TV Movie']"
Cloak & Dagger,6.2,40.0,"['Adventure', 'Action', 'Family']"
Comfort and Joy,6.5,13.0,['Comedy']
Electric Dreams,6.4,37.0,"['Music', 'Comedy', 'Drama']"
The Ewok Adventure,5.9,46.0,"['Adventure', 'Family', 'Fantasy', 'Science Fiction', 'TV Movie']"
The Hit,6.5,41.0,"['Drama', 'Action', 'Thriller', 'Crime']"
The Ice Pirates,5.7,50.0,"['Action', 'Science Fiction', 'Comedy']"
Irreconcilable Differences,5.0,14.0,"['Comedy', 'Drama', 'Romance']"
Racing with the Moon,5.8,15.0,"['Drama', 'Romance']"
"Silent Night, Deadly Night",5.6,65.0,"['Thriller', 'Horror']"
The Times of Harvey Milk,7.1,26.0,['Documentary']
What Have I Done to Deserve This?,7.4,37.0,"['Drama', 'Comedy']"
Anne of Green Gables,8.2,71.0,"['Drama', 'Family']"
Asterix vs. Caesar,6.5,122.0,"['Comedy', 'Animation', 'Family', 'Adventure']"
Creator,6.2,18.0,"['Comedy', 'Romance', 'Science Fiction']"
Death of a Salesman,5.9,33.0,['Drama']
Demons,6.5,112.0,['Horror']
