title,vote_average,vote_count,genres
Taxi Driver,8.1,2632.0,"['Crime', 'Drama']"
Rumble in the Bronx,6.5,245.0,"['Crime', 'Action', 'Comedy', 'Thriller']"
Before and After,5.8,37.0,"['Drama', 'Thriller']"
Happiness Is in the Field,7.0,23.0,['Comedy']
The Young Poisoner's Handbook,6.9,19.0,"['Comedy', 'Crime', 'Drama']"
If Lucy Fell,5.4,11.0,"['Comedy', 'Romance']"
Race the Sun,5.2,21.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']"
Boomerang,5.4,139.0,"['Comedy', 'Romance']"
Chungking Express,7.9,249.0,"['Drama', 'Comedy', 'Romance']"
The Star Maker,6.8,29.0,"['Drama', 'Romance']"
Flirting with Disaster,6.3,66.0,"['Comedy', 'Romance']"
The Neverending Story III: Escape from Fantasia,4.4,105.0,['Fantasy']
Jade,5.1,45.0,"['Action', 'Thriller', 'Mystery', 'Romance']"
Down Periscope,5.6,110.0,['Comedy']
Up Close & Personal,5.9,51.0,"['Drama', 'Romance']"
The Birdcage,6.7,303.0,['Comedy']
The Brothers McMullen,6.3,23.0,"['Comedy', 'Drama', 'Romance']"
Bad Boys,6.5,1729.0,"['Action', 'Comedy', 'Crime', 'Thriller']"
The Amazing Panda Adventure,5.0,31.0,"['Action', 'Adventure', 'Drama', 'Family']"
The Basketball Diaries,7.2,472.0,"['Drama', 'Crime']"
An Awfully Big Adventure,6.0,11.0,"['Romance', 'Drama', 'Comedy']"
Amateur,6.5,21.0,"['Crime', 'Comedy', 'Drama', 'Thriller']"
Apollo 13,7.3,1637.0,['Drama']
Rob Roy,6.5,151.0,['Adventure']
The Addiction,6.4,46.0,"['Drama', 'Horror']"
Batman Forever,5.2,1529.0,"['Action', 'Crime', 'Fantasy']"
Belle de Jour,7.3,163.0,"['Drama', 'Romance']"
Beyond Rangoon,6.4,21.0,"['Drama', 'Thriller']"
Blue in the Face,6.8,28.0,['Comedy']
Canadian Bacon,5.9,57.0,"['Action', 'Comedy']"
Casper,6.0,1045.0,"['Fantasy', 'Comedy', 'Family']"
Clockers,6.8,69.0,"['Mystery', 'Crime', 'Drama']"
Congo,5.0,214.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
Crimson Tide,7.0,508.0,"['Action', 'Thriller', 'Drama']"
Crumb,7.6,71.0,['Documentary']
Desperado,6.8,898.0,"['Thriller', 'Action', 'Crime']"
Devil in a Blue Dress,6.3,88.0,"['Drama', 'Mystery', 'Thriller']"
Die Hard: With a Vengeance,6.9,2094.0,"['Action', 'Thriller']"
The Doom Generation,5.6,57.0,"['Action', 'Comedy', 'Crime', 'Drama']"
First Knight,5.9,319.0,"['Action', 'Adventure', 'Drama', 'Romance']"
Free Willy 2 - The Adventure Home,5.5,130.0,['Adventure']
Hackers,6.2,406.0,"['Action', 'Crime', 'Thriller', 'Drama']"
Jeffrey,6.5,19.0,"['Comedy', 'Drama', 'Romance']"
Johnny Mnemonic,5.5,380.0,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']"
Judge Dredd,5.4,643.0,['Science Fiction']
Jury Duty,4.0,34.0,"['Comedy', 'Drama']"
Kids,6.8,280.0,"['Drama', 'Crime']"
Living in Oblivion,7.2,64.0,"['Drama', 'Comedy']"
Lord of Illusions,5.9,87.0,"['Mystery', 'Horror', 'Thriller']"
Mad Love,5.5,27.0,"['Drama', 'Family', 'Romance']"
Mallrats,6.8,400.0,"['Romance', 'Comedy']"
Mighty Morphin Power Rangers: The Movie,5.2,153.0,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']"
Mute Witness,6.4,36.0,"['Thriller', 'Foreign']"
Nadja,5.9,12.0,"['Horror', 'Thriller']"
The Net,5.6,359.0,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']"
Nine Months,5.5,171.0,['Comedy']
Party Girl,5.8,14.0,['Comedy']
The Prophecy,6.4,139.0,"['Fantasy', 'Horror', 'Thriller']"
Safe,7.2,62.0,['Drama']
The Scarlet Letter,5.5,111.0,"['Drama', 'History', 'Romance']"
Showgirls,4.9,261.0,['Drama']
Smoke,7.2,115.0,"['Comedy', 'Drama']"
Something to Talk About,5.7,60.0,['Comedy']
