title,vote_average,vote_count,genres
The Howling: New Moon Rising,2.2,15.0,['Horror']
Call Me by Your Name,0.0,18.0,"['Romance', 'Drama']"
An Eye for Beauty,2.9,54.0,['Drama']
LD 50 Lethal Dose,3.0,11.0,['Horror']
Space Mutiny,2.3,18.0,"['Romance', 'Adventure', 'Science Fiction']"
Beyond Skyline,0.0,30.0,"['Action', 'Science Fiction']"
Monster a-Go Go,2.3,14.0,"['Science Fiction', 'Horror']"
Extraterrestrial Visitors,2.2,14.0,"['Horror', 'Science Fiction']"
The Wild World of Batwoman,1.8,12.0,"['Adventure', 'Crime', 'Comedy', 'Science Fiction']"
Track of the Moon Beast,2.1,11.0,"['Horror', 'Science Fiction']"
It's Hot In Paradise,2.6,11.0,['Horror']
2012 Doomsday,2.3,32.0,"['Adventure', 'Action', 'Fantasy', 'Horror', 'Science Fiction', 'Thriller']"
Gor,2.9,15.0,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']"
