Genre,Average Rating
Documentary,7.02459349593496
History,6.726937738246506
War,6.632533733133433
Animation,6.598738170347004
Music,6.559604519774011
Drama,6.440658163762048
Foreign,6.374874371859296
Crime,6.325598455598455
Romance,6.2890888638920135
Western,6.26440281030445
Mystery,6.158564658090725
Fantasy,6.10645375914837
Comedy,6.096423187611347
Family,6.095981362842166
Adventure,6.072463768115942
Action,5.935581787521079
Thriller,5.925166902690673
TV Movie,5.920634920634921
Science Fiction,5.717315369261477
Horror,5.5108759361771416
